No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
81	EHDSAllergyIntolerance	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language	EuAllergyIntolerance	language	EQ						R				EQ						R		
82	EHDSAllergyIntolerance	header.version	0..1	Business version of the resource.	string		Version	EuAllergyIntolerance	meta.versionId	EQ						R				EQ						R		
83	EHDSAllergyIntolerance	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EuAllergyIntolerance	text	EQ						R				EQ						R		
84	EHDSAllergyIntolerance	agentOrAllergen	1..1	A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU)	1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU)	EuAllergyIntolerance	code	EQ						R				EQ						R		
85	EHDSAllergyIntolerance	agentOrAllergen	1..1	A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU)	1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU)	EuAllergyIntolerance	reaction.substance	EQ						R				EQ						R		
86	EHDSAllergyIntolerance	typeOfPropensity	0..1	This element describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.18 eHDSIAdverseEventType (SCT, used in MH@EU)	http://hl7.org/fhir/ValueSet/allergy-intolerance-type (HL7, required in HL7 FHIR) (preferred)	EuAllergyIntolerance	type	EQ						R				EQ						R		
87	EHDSAllergyIntolerance	description	0..1	Textual description of the allergy or intolerance	string		Textual description of the allergy or intolerance	EuAllergyIntolerance	text	TB						R	Procedure			TB						R	Procedure	
88	EHDSAllergyIntolerance	criticality	0..1	Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.57 eHDSICriticality (HL7, used in MH@EU)	http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality (HL7, required in HL7 FHIR) (preferred)	EuAllergyIntolerance	criticality	EQ						R	Procedure			EQ						R	Procedure	
89	EHDSAllergyIntolerance	certainty	0..1	Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.58 eHDSIAllergyCertainty (HL7, used in MH@EU)	http://hl7.org/fhir/ValueSet/allergyintolerance-verification (HL7, required in HL7 FHIR) (preferred)	EuAllergyIntolerance	verificationStatus	EQ						R				EQ						R		
90	EHDSAllergyIntolerance	status	0..1	Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.	CodeableConcept	1.3.6.1.4.1.12559.11.10.1.3.1.42.59 eHDSIAllergyStatus (HL7, used in MH@EU)	http://hl7.org/fhir/ValueSet/allergyintolerance-clinical (HL7, required in HL7 FHIR) (preferred)	EuAllergyIntolerance	clinicalStatus	EQ						R				EQ						R		
91	EHDSAllergyIntolerance	onsetDate	0..1	When allergy or intolerance was identified	dateTime		When allergy or intolerance was identified	EuAllergyIntolerance	onsetPeriod	EQ						R	Procedure			EQ						R	Procedure	
92	EHDSAllergyIntolerance	onsetDate	0..1	When allergy or intolerance was identified	dateTime		When allergy or intolerance was identified	EuAllergyIntolerance	onsetDateTime	EQ						R	Procedure			EQ						R	Procedure	
93	EHDSAllergyIntolerance	endDate	0..1	Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)	dateTime		Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)	EuAllergyIntolerance	extension[abatement].valueDateTime	EQ						R				EQ						R		
94	EHDSAllergyIntolerance	reaction	0..*	Adverse Reaction Events linked to exposure to substance.	Base		Adverse Reaction Events linked to exposure to substance.	EuAllergyIntolerance	reaction	EQ						R	Procedure			EQ						R	Procedure	
